accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation	gtdb_type_designation_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
UBA10200	0	66.92	0.93	149	k__Archaea (UID2)	107	0	1380892	89.5646725672	108	558657	36.2473130349	1541782	UBA10200	t	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA10200;g__UBA10200;s__UBA10200 sp10200u	none	none	none	22	20	72492	72530	4436	1	296	contig_147821	32761	1	107	contig_322	292	320	2.32e-86	86.986	JWKV01000003.16394.19301	Archaea;archaeon GW2011_AR16	14270	14968	f	f	t	20330	24021	none	none	none	none	none	none	none	none	none	none	derived from metagenome	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1572	103	2650	1	167	115	1.85e-24	79.641	210737	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__	436	contig_356659	148	119	4.21e-25	81.757	GU303764.1.1502	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 1;uncultured rumen bacterium	545	12	20	0
GB_GCA_002687825.1	0	65.42	0	149	k__Archaea (UID2)	107	0	728960	94.0181081848	25	236743	30.5486664	775340	GB_GCA_002687825.1	t	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1403;g__ARS1403;s__ARS1403 sp002687825	not type material	none	f	7	7	94746	94832	42124	1	1828	NZBI01000022.1	none	0	none	none	1813	881	0	76.062	CP010425.1040028.1042850	Archaea;archaeon GW2011_AR15	30998	31013	f	f	t	42124	42124	Contig	ASM268782v1	n/a	PRJNA391943	SAMN07619508	25	42124	none	2017-10-24	GCA_002687825.1	derived from metagenome	full	ARS1403	none	none	0	0	Nanoarchaeota archaeon	944	na	1	none	none	none	none	none	2017/10/24	0	2026764	0	ARS1403	Tara Oceans Consortium	2026764	d__Archaea;p__Nanoarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__DPANN group;p__Nanoarchaeota;x__unclassified Nanoarchaeota;s__Nanoarchaeota archaeon	0	775340	11	20	none	775340	0	NZBI00000000.1	1002	25	27339	1	339	254	2.85e-66	80.826	328982	k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__;g__;s__	338	NZBI01000004.1	333	342	1.75e-92	85.285	AQSE01000048.8765.10220	Archaea;Woesearchaeota (DHVEG-6);Nanoarchaeota archaeon SCGC AAA011-K22	370	13	16	0
RS_GCF_000231015.2	0	100	0	245	c__Thermoprotei (UID148)	158	0	1238803	89.501385722	1	620482	44.8287571273	1384116	RS_GCF_000513855.1	f	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus amylolyticus	type strain of heterotypic synonym	LPSN; DSMZ; StrainInfo	f	1	1	1384116	1384116	1384116	1	3073	NC_018001.1	none	0	none	none	3073	5675	0	100	CP003321.1078357.1081451	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus fermentans DSM 16532	1384116	1384116	f	f	t	1384116	1384116	Complete Genome	ASM23101v3	n/a	PRJNA224116	SAMN02232017	none	none	Russia	2012-6-7	GCA_000231015.3	none	full	none	freshwater hot spring	54.520524 N 159.968948 E	1	0	Desulfurococcus amylolyticus DSM 16532	1442	na	3	none	none	none	none	none	2012/06/07	0	94694	1	DSM 16532	DOE Joint Genome Institute	768672	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus amylolyticus	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus amylolyticus;x__Desulfurococcus amylolyticus DSM 16532	0	1384116	11	46	assembly from synonym type material	1384116	0	none	1478	1	1384116	1	1494	2760	0	100	4478889	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;s__kamchatkensis	1495	NC_018001.1	1491	2754	0	100	CP003321.1081655.1083145	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus fermentans DSM 16532	0	19	46	0
GB_GCA_002499705.1	0	78.8	0	188	p__Euryarchaeota (UID3)	125	0	1723583	91.688286541	171	861959	46.3779867338	1879829	GB_GCA_002499705.1	t	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__MGIIa-L1 sp002499705	not type material	none	f	30	23	74760	105996	none	0	none	none	32532	1	108	DAMU01000108.1	none	none	none	none	none	none	10868	16784	f	f	t	19194	25904	Scaffold	ASM249970v1	n/a	PRJNA348753	SAMN06027279	171	19194	none	2017-10-10	GCA_002499705.1	derived from metagenome	full	UBA91	none	none	0	0	Euryarchaeota archaeon UBA91	0	na	0	none	none	none	none	none	2017/10/10	59	1915984	0	UBA91	University of Queensland	1915984	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__Marine Group II;s__Euryarchaeota archaeon UBA91	21277	1879829	none	0	none	1858552	0	DAMU00000000.1	1603	112	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	21277	18	36	0
RS_GCF_001729375.1	0	97.88	0.33	228	p__Euryarchaeota (UID49)	153	0	3071457	71.8317408829	390	1679259	39.2725984324	4275905	RS_GCF_000970025.1	f	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina barkeri	not type material	none	f	90	90	60011	60011	3091	1	2888	NZ_LZPK01000070.1	none	0	none	none	2888	5195	0	99.134	CP000099.2197717.2200611	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina barkeri str. Fusaro	10963	10963	f	f	t	15612	15612	Contig	ASM172937v1	n/a	PRJNA224116	SAMN05219188	390	15612	Australia	2016-9-16	GCA_001729375.1	none	full	none	none	none	0	0	Methanosarcina sp. A14	3604	na	1	none	none	none	none	none	2016/09/16	0	1860098	0	A14	Australian Centre for Ecogenomics, The University of Queensland	1860098	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp. A14	0	4275905	11	46	none	4275905	0	LZPK00000000.1	3721	390	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	47	0
GB_GCA_002503425.1	0	78.35	0	149	k__Archaea (UID2)	107	0	1349543	87.2873671166	174	878090	57.1186404295	1546092	GB_GCA_001871415.1	f	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-57-44;g__CG1-02-57-44;s__CG1-02-57-44 sp001871415	not type material	none	f	29	22	47313	56103	none	0	none	none	4991	1	105	DARS01000040.1	none	none	none	none	none	none	8835	14585	f	f	t	15270	23373	Scaffold	ASM250342v1	n/a	PRJNA348753	SAMN06027322	174	15270	none	2017-10-10	GCA_002503425.1	derived from metagenome	full	UBA94	none	none	0	0	Candidatus Woesearchaeota archaeon UBA94	0	na	0	none	none	none	none	none	2017/10/10	68	1916028	0	UBA94	University of Queensland	1916028	d__Archaea;p__Candidatus Woesearchaeota;c__;o__;f__;g__;s__	d__Archaea;x__DPANN group;p__Candidatus Woesearchaeota;s__Candidatus Woesearchaeota archaeon UBA94	8781	1546092	none	0	none	1537311	0	DARS00000000.1	1562	106	31492	1	856	839	0	84.696	4452525	k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__;g__;s__	863	DARS01000046.1	856	839	0	84.696	JX000786.1.1403	Archaea;Woesearchaeota (DHVEG-6);uncultured archaeon	8783	18	36	0
GB_GCA_001587605.1	0	85.53	3.96	299	p__Euryarchaeota (UID4)	202	7.14	1345479	89.8704322665	73	498991	33.4653640648	1497132	GB_GCA_001587595.1	f	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales;f__Methanofastidiosaceae;g__Methanofastidiosum;s__Methanofastidiosum sp001587595	not type material	none	f	9	7	177465	177638	91189	1	2994	LNJD01000004.1	155256	1	106	LNJD01000002.1	2782	1251	0	75.521	CBVX010000001.298099.301076	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter arboriphilus ANOR1	20425	24952	f	f	t	42002	67697	Scaffold	ASM158760v1	n/a	PRJNA293767	SAMN04009748	73	42093	USA: Urbana; Illinois	2016-3-11	GCA_001587605.1	derived from metagenome	full	ADurb1113_Bin01801	Urbana Champaign Sanitary District anaerobic digester sludge	40.12 N 88.20 W	0	0	Arc I group archaeon ADurb1113_Bin01801	1597	na	3	none	none	none	none	none	2016/03/11	13	1706434	1	ADurb1113_Bin01801	University of Illinois	1706434	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__;f__;g__;s__	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;x__unclassified Methanomicrobia;x__Arc I group;s__Arc I group archaeon ADurb1113_Bin01801	2028	1497132	11	43	none	1495104	0	LNJD00000000.1	1647	60	91189	2	1437	2577	0	99.026	341192	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__WSA2;g__;s__	1470	LNJD01000004.1	1442	2591	0	99.098	KF564599.1.1442	Archaea;Euryarchaeota;Thermoplasmata;WCHA1-57;uncultured archaeon	6065	19	44	0
GB_GCA_001563335.1	0	87.69	5.14	149	k__Archaea (UID2)	107	0	3220175	90.8580597723	119	1494357	42.1636642813	3544182	GB_GCA_001563335.1	t	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp001563335	not type material	none	f	25	25	179128	179128	none	0	none	none	22886	1	112	LRSL01000036.1	none	none	none	none	none	none	29783	29783	f	f	t	51214	51214	Contig	ASM156333v1	n/a	PRJNA270657	SAMN03998759	119	51214	USA: White Oak River Estuary; North Carolina	2016-2-18	GCA_001563335.1	derived from metagenome	full	SMTZ1-45	Sulfate-methane transisition zone estuary sediments 16-26 cm	34.7414 N 77.1234 W	0	1	Candidatus Thorarchaeota archaeon SMTZ1-45	3364	na	1	none	none	none	none	none	2016/02/18	0	1706444	0	SMTZ1-45	University of Texas	1706444	d__Archaea;p__Candidatus Thorarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Asgard group;p__Candidatus Thorarchaeota;s__Candidatus Thorarchaeota archaeon SMTZ1-45	0	3544182	11	39	none	3544182	0	LRSL00000000.1	3438	119	51565	1	243	204	6.26e-51	81.893	3614592	k__Archaea;p__Crenarchaeota;c__MBGB;o__;f__;g__;s__	697	LRSL01000047.1	700	985	0	92.143	KC471281.1.1501	Archaea;uncultured archaeon	0	18	35	0
GB_GCA_003157115.1	0	78.54	1.49	228	p__Euryarchaeota (UID49)	153	60	1848027	80.9779167508	506	1131487	49.760911794	2282137	GB_GCA_003162615.1	f	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Fen-7;s__Fen-7 sp003162615	not type material	none	f	124	107	24510	27328	none	0	none	none	none	0	none	none	none	none	none	none	none	none	4493	6037	f	f	t	5915	6835	Scaffold	20120600_E3D	n/a	PRJNA386568	SAMN08179606	506	5923	none	2018-5-24	GCA_003157115.1	derived from metagenome	full	fen_54	none	none	0	0	Methanothrix sp.	0	na	0	none	none	none	none	none	2018/05/24	128	90426	0	fen_54	Australian Centre for Ecogenomics, The University of Queensland	90426	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanothrix;s__	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanothrix;s__Methanothrix sp.	7167	2282137	none	0	none	2274970	0	PMIM00000000.1	2828	378	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	8290	16	30	0
GB_GCA_003142655.1	0	88.32	2.94	228	p__Euryarchaeota (UID49)	153	40	1329297	82.0709739876	204	845950	52.2808077924	1619692	GB_GCA_003162175.1	f	d__Archaea;p__Halobacterota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	not type material	none	f	42	40	46135	46145	none	0	none	none	none	0	none	none	none	none	none	none	none	none	7931	8802	f	f	t	12256	12527	Scaffold	20120800_E2S	n/a	PRJNA386568	SAMN08180115	204	12264	none	2018-5-18	GCA_003142655.1	derived from metagenome	full	fen_79	none	none	0	0	Euryarchaeota archaeon	0	na	0	none	none	none	none	none	2018/05/18	20	2026739	0	fen_79	Australian Centre for Ecogenomics, The University of Queensland	2026739	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__unclassified Euryarchaeota (miscellaneous);s__Euryarchaeota archaeon	1003	1619692	none	0	none	1618689	0	PLNA00000000.1	2026	184	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1603	17	37	0
RS_GCF_001559955.1	0	99.29	0	217	c__Thermoprotei (UID147)	168	0	1944347	87.5255968932	16	815425	36.7079216724	2221461	RS_GCF_000012285.1	f	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius	not type material	none	f	4	4	429867	429876	95431	1	3011	NZ_LPRC01000005.1	none	0	none	none	3007	5548	0	99.967	CP002818.1103925.1106937	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus acidocaldarius Ron12/I	138836	138841	f	f	t	145425	145429	Contig	GG12_C01_01	n/a	PRJNA224116	SAMN04305136	16	145429	USA: Yellowstone National Park	2016-2-11	GCA_001559955.1	none	full	none	GG12 hot spring; Gibbon Geyser Basin	none	0	0	Sulfolobus acidocaldarius	2275	na	3	none	none	none	none	none	2016/02/11	0	2285	1	GG12-C01-01	University of Illinois at Urbana-Champaign	2285	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius	0	2221461	11	47	none	2221461	0	LPRC00000000.1	2383	16	95431	2	750	1380	0	99.867	953	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__acidocaldarius	750	NZ_LPRC01000005.1	750	1386	0	100	D14876.260.1752	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus acidocaldarius	74	19	46	0
GB_GCA_000495695.1	0	97.08	0.63	245	c__Thermoprotei (UID148)	158	0	1242698	87.1035143559	129	837621	59.3899073722	1426691	GB_GCA_000495735.1	f	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp000495735	not type material	none	f	18	3	64840	345689	197428	1	3062	AYMB01000008.1	none	0	none	none	3062	5655	0	100	AYMB01000008.97792.100866	Archaea;Crenarchaeota;Thermoprotei;Acidilobales;uncultured Acidilobus sp. CIS	10933	79260	f	f	t	22444	197428	Scaffold	Acidilobus sp. CIS	n/a	PRJNA221622	SAMN02364258	129	22444	USA: Yellowstone National Park	2013-11-5	GCA_000495695.1	derived from metagenome	full	none	Cistern Spring (CIS_19); temperature 78C; pH 4.4	44.7231 N 110.7040 W	0	1	uncultured Acidilobus sp. CIS	1671	na	2	none	none	none	none	none	2013/11/05	111	1410574	1	none	Montana State University	1410574	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Acidilobales;f__Acidilobaceae;g__Acidilobus;s__	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Acidilobales;f__Acidilobaceae;g__Acidilobus;x__environmental samples;s__uncultured Acidilobus sp. CIS	16315	1426691	11	45	none	1410376	0	AYMB00000000.1	1556	18	197428	1	1495	2503	0	96.923	2032363	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Acidilobus;s__saccharovorans	1495	AYMB01000008.1	1495	2761	0	100	AYMB01000008.96097.97593	Archaea;Crenarchaeota;Thermoprotei;Acidilobales;SK190;uncultured Acidilobus sp. CIS	16315	18	44	0
GB_GCA_001595915.1	0	85.2	2.4	188	p__Euryarchaeota (UID3)	125	0	1738497	91.0491965032	84	579885	30.3699479	1909404	GB_GCA_001595915.1	t	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SG8-52-3;s__SG8-52-3 sp001595915	not type material	none	f	20	20	131306	131306	none	0	none	none	none	0	none	none	none	none	none	none	none	none	22731	22731	f	f	t	30406	30406	Contig	ASM159591v1	n/a	PRJNA270657	SAMN04495911	84	30406	USA: White Oak River Estuary North Carolina	2016-3-22	GCA_001595915.1	derived from metagenome	full	SG8-52-3	Sulfate-rich zone estuary sediments 8-12 cm	34.7414 N 77.1234 W	0	1	Thermoplasmatales archaeon SG8-52-3	1838	na	1	none	none	none	none	none	2016/03/22	0	1803818	1	SG8-52-3	University of Texas	1803818	d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__;g__;s__	d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;x__unclassified Thermoplasmatales;x__unclassified Thermoplasmatales (miscellaneous);s__Thermoplasmatales archaeon SG8-52-3	0	1909404	11	25	none	1909404	0	LSSG00000000.1	1918	84	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	15	25	0
GB_GCA_002499645.1	0	59.87	0	188	p__Euryarchaeota (UID3)	125	0	950176	89.6537082869	107	541231	52.093335284	1059829	GB_GCA_002498925.1	f	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O5;s__MGIIb-O5 sp002498925	not type material	none	f	15	12	62744	78967	none	0	none	none	none	0	none	none	none	none	none	none	none	none	9709	19996	f	f	t	18639	33159	Scaffold	ASM249964v1	n/a	PRJNA348753	SAMN06027276	107	18639	none	2017-10-10	GCA_002499645.1	derived from metagenome	full	UBA554	none	none	0	0	Euryarchaeota archaeon UBA554	0	na	0	none	none	none	none	none	2017/10/10	54	1915932	0	UBA554	University of Queensland	1915932	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__Marine Group II;s__Euryarchaeota archaeon UBA554	20865	1059829	none	0	none	1038964	0	DAMP00000000.1	928	53	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	20865	17	29	0
RS_GCF_000190035.1	0	100	0.8	188	p__Euryarchaeota (UID3)	125	100	1723844	90.2510609648	50	578488	30.2864735761	1910054	RS_GCF_002252585.1	f	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii_A	not type material	none	f	7	7	170380	170380	3155	1	2980	NZ_AELW01000043.1	none	0	none	none	2974	5493	0	100	AELW01000043.19.3002	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii TS94C	38201	38201	f	f	t	108845	108845	Contig	ASM19003v2	n/a	PRJNA224116	SAMN02436675	50	108845	none	2011-2-17	GCA_000190035.2	none	full	none	none	none	0	0	Methanobrevibacter smithii TS94C	1794	na	5	none	none	none	none	none	2011/02/17	0	2173	1	TS94C	Washington University in St.Louis	911128	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii;x__Methanobrevibacter smithii TS94C	0	1910054	11	35	none	1910054	0	AELW00000000.1	1824	50	1599	1	1474	2693	0	99.661	470690	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	1473	NZ_AELW01000048.1	1474	2693	0	99.661	ABYW01000015.50.1525	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii DSM 2375	0	20	35	0
GB_GCA_000806155.1	0	73.29	0	149	k__Archaea (UID2)	107	0	755662	91.8693315827	19	244477	29.7237196929	822540	GB_GCA_000806155.1	t	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR18;g__GW2011-AR18;s__GW2011-AR18 sp000806155	not type material	none	f	6	6	81184	81184	71617	1	2786	JWKX01000012.1	none	0	none	none	2785	5144	0	100	JWKX01000012.66788.69580	Archaea;archaeon GW2011_AR18	43289	48384	f	f	t	53959	54653	Scaffold	ASM80615v1	n/a	PRJNA268032	SAMN03217312	19	53959	USA: Rifle; CO	2014-12-19	GCA_000806155.1	derived from metagenome	full	none	Rifle groundwater metagenome at time 1	39.5369 N 107.7828 W	0	0	archaeon GW2011_AR18	1047	na	1	none	none	none	none	none	2014/12/19	2	1579376	1	none	Banfield Lab, University of California, Berkeley	1579376	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea;x__unclassified Archaea;x__unclassified Archaea (miscellaneous);s__archaeon GW2011_AR18	42	822540	11	0	none	822498	0	JWKX00000000.1	1062	17	71617	1	906	787	0	82.45	4409593	k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__;g__;s__	1376	JWKX01000012.1	1374	2538	0	100	JWKX01000012.65128.66503	Archaea;Woesearchaeota (DHVEG-6);archaeon GW2011_AR18	42	9	12	0
RS_GCF_002355635.1	0	98.22	0.13	417	f__Halobacteriaceae (UID96)	263	0	2665310	85.8133954423	2	2048894	65.9670173606	3105937	RS_GCF_002355635.1	t	d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halopenitus;s__Halopenitus persicus_A	not type material	none	f	1	1	2967917	2967917	2967917	2	2902	NZ_AP017558.1	2967917	2	116	NZ_AP017558.1	2846	5024	0	98.559	ATCR02000015.340.3183	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubrum;haloarchaeon 3A1_DGR	1552968	1552968	t	f	f	2967917	2967917	Complete Genome	ASM235563v1	n/a	PRJNA224116	SAMD00053810	none	none	none	2016-6-23	GCA_002355635.1	none	full	none	none	none	2	0	Halopenitus persicus	2979	na	6	none	none	none	none	none	2016/06/23	0	1048396	2	CBA1233	Korea Basic Science Institute	1048396	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halopenitus;s__Halopenitus persicus	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halopenitus;s__Halopenitus persicus	0	3105937	11	63	none	3105937	0	none	3006	2	2967917	2	1469	2608	0	98.707	753747	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacteriaceae;s__R11	1470	NZ_AP017558.1	1458	2621	0	99.108	ATCR02000015.3634.5091	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halopenitus;haloarchaeon 3A1_DGR	0	20	59	0
GB_GCA_002495645.1	0	80.02	0	188	p__Euryarchaeota (UID3)	125	0	1722261	93.1677593196	171	1022156	55.8490491812	1848559	GB_GCA_002495645.1	t	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia;s__Poseidonia sp002495645	not type material	none	f	34	27	52136	52915	none	0	none	none	none	0	none	none	none	none	none	none	none	none	10702	15404	f	f	t	20061	23389	Scaffold	ASM249564v1	n/a	PRJNA348753	SAMN06027480	171	20061	none	2017-10-10	GCA_002495645.1	derived from metagenome	full	UBA549	none	none	0	0	Euryarchaeota archaeon UBA549	0	na	0	none	none	none	none	none	2017/10/10	51	1915927	0	UBA549	University of Queensland	1915927	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__Marine Group II;s__Euryarchaeota archaeon UBA549	18347	1848559	none	0	none	1830212	0	DAGF00000000.1	1595	120	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	18347	15	33	0
